,stop_id,stop_cause,service_area,subject_race,subject_sex,subject_age,date_stop,time_stop,arrested,searched,obtained_consent,contraband_found,property_seized,is_in_twilight,Month,Sunset,Dark
0,1308235,Moving Violation,720,Asian,Male,49.0,2016-01-01,2020-03-17 17:13:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
1,1308245,Equipment Violation,610,Other,Male,29.0,2016-01-01,2020-03-17 17:18:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
2,1308240,Moving Violation,620,Other,Male,42.0,2016-01-01,2020-03-17 17:20:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
3,1308236,Moving Violation,430,Hispanic/Latino/a,Male,33.0,2016-01-01,2020-03-17 17:22:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
4,1308239,Equipment Violation,230,Hispanic/Latino/a,Female,25.0,2016-01-01,2020-03-17 17:22:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
5,1308237,Moving Violation,610,Black/African American,Female,26.0,2016-01-01,2020-03-17 17:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
6,1308238,Moving Violation,230,Asian,Male,29.0,2016-01-01,2020-03-17 17:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
7,1308241,Moving Violation,240,Other,Male,47.0,2016-01-01,2020-03-17 17:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
8,1308242,Equipment Violation,610,White,Male,35.0,2016-01-01,2020-03-17 17:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
9,1308243,Equipment Violation,310,Black/African American,Female,29.0,2016-01-01,2020-03-17 17:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
10,1308244,Moving Violation,Unknown,Hispanic/Latino/a,Female,36.0,2016-01-01,2020-03-17 17:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
11,1308249,Equipment Violation,430,Black/African American,Male,51.0,2016-01-01,2020-03-17 17:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
12,1308247,Moving Violation,310,White,Female,28.0,2016-01-01,2020-03-17 17:55:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
13,1308248,Equipment Violation,610,White,Male,28.0,2016-01-01,2020-03-17 17:57:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
14,1308246,Moving Violation,240,Hispanic/Latino/a,Female,20.0,2016-01-01,2020-03-17 17:58:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
15,1308250,Moving Violation,720,Hispanic/Latino/a,Male,51.0,2016-01-01,2020-03-17 18:00:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
16,1308253,Moving Violation,240,Asian,Male,39.0,2016-01-01,2020-03-17 18:07:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
17,1308252,Moving Violation,240,Other,Male,34.0,2016-01-01,2020-03-17 18:16:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
18,1308251,Moving Violation,610,White,Female,20.0,2016-01-01,2020-03-17 18:20:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
19,1308254,Equipment Violation,610,Black/African American,Male,23.0,2016-01-01,2020-03-17 18:25:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
20,1308259,Moving Violation,120,White,Male,18.0,2016-01-01,2020-03-17 18:25:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
21,1308255,Equipment Violation,830,White,Male,32.0,2016-01-01,2020-03-17 18:34:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
22,1308257,Equipment Violation,610,Hispanic/Latino/a,Female,23.0,2016-01-01,2020-03-17 18:38:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
23,1308258,Equipment Violation,830,Hispanic/Latino/a,Male,45.0,2016-01-01,2020-03-17 18:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
24,1308260,Equipment Violation,830,Hispanic/Latino/a,Male,23.0,2016-01-01,2020-03-17 18:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
25,1308256,Moving Violation,510,Black/African American,Male,51.0,2016-01-01,2020-03-17 18:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
26,1308496,Equipment Violation,310,White,Male,56.0,2016-01-01,2020-03-17 18:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
27,1308261,Moving Violation,710,White,Male,44.0,2016-01-01,2020-03-17 19:10:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
28,1308269,Moving Violation,720,Hispanic/Latino/a,Male,30.0,2016-01-01,2020-03-17 19:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
29,1308263,Moving Violation,810,White,Male,52.0,2016-01-01,2020-03-17 19:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
30,1308264,Moving Violation,810,White,Female,55.0,2016-01-01,2020-03-17 19:15:00,N,Y,,N,N,True,1,2020-03-17 18:18:00,True
31,1308262,Equipment Violation,820,Hispanic/Latino/a,Male,22.0,2016-01-01,2020-03-17 19:19:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
32,1308270,Moving Violation,310,White,Male,69.0,2016-01-01,2020-03-17 19:20:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
33,1308265,Equipment Violation,820,Hispanic/Latino/a,Male,26.0,2016-01-01,2020-03-17 19:20:00,N,N,N,N,N,True,1,2020-03-17 18:18:00,True
34,1308266,Equipment Violation,820,Hispanic/Latino/a,Female,35.0,2016-01-01,2020-03-17 19:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
35,1308267,Equipment Violation,810,Hispanic/Latino/a,Male,20.0,2016-01-01,2020-03-17 19:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
36,1308268,Moving Violation,710,Hispanic/Latino/a,Male,39.0,2016-01-01,2020-03-17 19:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
37,1308327,Moving Violation,520,Other,Male,32.0,2016-01-01,2020-03-17 19:39:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
38,1311051,Moving Violation,520,Other,Male,32.0,2016-01-01,2020-03-17 19:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
39,1308276,Moving Violation,240,White,Male,18.0,2016-01-01,2020-03-17 19:41:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
40,1308278,"Muni, County, H&S Code",620,Black/African American,Male,27.0,2016-01-01,2020-03-17 19:45:00,N,Y,,Y,Y,True,1,2020-03-17 18:18:00,True
41,1308288,Equipment Violation,830,Black/African American,Male,58.0,2016-01-01,2020-03-17 19:45:00,Y,Y,,N,N,True,1,2020-03-17 18:18:00,True
42,1308274,"Muni, County, H&S Code",520,Black/African American,Female,64.0,2016-01-01,2020-03-17 19:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
43,1308271,Moving Violation,710,Hispanic/Latino/a,Female,22.0,2016-01-01,2020-03-17 19:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
44,1308272,Moving Violation,310,Hispanic/Latino/a,Female,23.0,2016-01-01,2020-03-17 19:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
