,stop_id,stop_cause,service_area,subject_race,subject_sex,subject_age,date_stop,time_stop,arrested,searched,obtained_consent,contraband_found,property_seized,is_in_twilight,Month,Sunset,Dark
0,1189877,Moving Violation,310,Asian,Male,29.0,2015-01-01,2020-03-17 17:20:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
1,1189878,Moving Violation,720,Black/African American,Male,24.0,2015-01-01,2020-03-17 17:23:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
2,1189879,Equipment Violation,230,White,Male,16.0,2015-01-01,2020-03-17 17:25:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
3,1189880,Equipment Violation,230,Hispanic/Latino/a,Male,47.0,2015-01-01,2020-03-17 17:26:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
4,1189884,Equipment Violation,820,Hispanic/Latino/a,Male,24.0,2015-01-01,2020-03-17 17:32:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
5,1189881,Moving Violation,310,White,Male,19.0,2015-01-01,2020-03-17 17:35:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
6,1189897,Equipment Violation,110,Asian,Male,63.0,2015-01-01,2020-03-17 17:40:00,N,Y,N,Y,Y,True,1,2020-03-17 18:18:00,False
7,1189883,Equipment Violation,720,Hispanic/Latino/a,Female,41.0,2015-01-01,2020-03-17 17:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
8,1189886,Moving Violation,720,Hispanic/Latino/a,Male,76.0,2015-01-01,2020-03-17 17:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
9,1189882,Moving Violation,110,White,Female,45.0,2015-01-01,2020-03-17 17:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
10,1189887,Moving Violation,720,White,Male,25.0,2015-01-01,2020-03-17 18:00:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
11,1189889,Equipment Violation,230,White,Male,40.0,2015-01-01,2020-03-17 18:05:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
12,1189885,Equipment Violation,110,White,Male,52.0,2015-01-01,2020-03-17 18:05:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
13,1189888,Moving Violation,230,White,Female,37.0,2015-01-01,2020-03-17 18:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
