,stop_id,stop_cause,service_area,subject_race,subject_sex,subject_age,date_stop,time_stop,arrested,searched,obtained_consent,contraband_found,property_seized,is_in_twilight,Month,Sunset,Dark
0,1045004,Moving Violation,720,Hispanic/Latino/a,Male,50.0,2014-01-01,2020-03-17 17:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
1,1045005,Moving Violation,720,Hispanic/Latino/a,Male,25.0,2014-01-01,2020-03-17 17:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
2,1044999,Moving Violation,240,White,Male,18.0,2014-01-01,2020-03-17 17:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
3,1045001,Equipment Violation,230,White,Male,49.0,2014-01-01,2020-03-17 17:29:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
4,1045003,Moving Violation,320,Black/African American,Male,50.0,2014-01-01,2020-03-17 17:50:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
5,1045000,Moving Violation,320,White,Female,21.0,2014-01-01,2020-03-17 17:50:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
6,1045007,Moving Violation,320,White,Female,82.0,2014-01-01,2020-03-17 18:10:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
7,1045006,Moving Violation,320,Black/African American,Female,50.0,2014-01-01,2020-03-17 18:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
8,1045009,Moving Violation,240,White,Male,40.0,2014-01-01,2020-03-17 18:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
9,1045008,Equipment Violation,320,White,Male,17.0,2014-01-01,2020-03-17 18:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
10,1045010,Moving Violation,110,Asian,Female,23.0,2014-01-01,2020-03-17 19:28:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
11,1045011,Equipment Violation,320,Hispanic/Latino/a,Female,30.0,2014-01-01,2020-03-17 19:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
12,1045015,Moving Violation,710,Hispanic/Latino/a,Male,24.0,2014-01-01,2020-03-17 20:00:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
13,1045012,Equipment Violation,240,Black/African American,Male,32.0,2014-01-01,2020-03-17 20:10:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
14,1045013,Equipment Violation,230,White,Male,33.0,2014-01-01,2020-03-17 20:21:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
15,1045059,Moving Violation,930,Middle Eastern or South Asian,Male,26.0,2014-01-02,2020-03-17 17:10:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
16,1045715,Equipment Violation,120,White,Female,58.0,2014-01-02,2020-03-17 17:10:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
17,1045063,Moving Violation,110,Hispanic/Latino/a,Male,56.0,2014-01-02,2020-03-17 17:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
18,1045060,Moving Violation,240,White,Male,40.0,2014-01-02,2020-03-17 17:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
19,1045061,Moving Violation,240,White,Male,63.0,2014-01-02,2020-03-17 17:50:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
20,1045062,Equipment Violation,810,Hispanic/Latino/a,Male,54.0,2014-01-02,2020-03-17 18:06:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
21,1045064,Equipment Violation,610,White,Female,40.0,2014-01-02,2020-03-17 19:34:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
22,1045065,Equipment Violation,820,White,Female,33.0,2014-01-02,2020-03-17 20:21:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
23,1045066,Equipment Violation,820,White,Female,33.0,2014-01-02,2020-03-17 20:21:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
24,1045179,Moving Violation,320,White,Male,29.0,2014-01-03,2020-03-17 17:13:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
25,1045178,Moving Violation,240,White,Male,52.0,2014-01-03,2020-03-17 17:24:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
26,1045183,Moving Violation,930,Asian,Male,42.0,2014-01-03,2020-03-17 17:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
27,1045180,Moving Violation,930,White,Male,19.0,2014-01-03,2020-03-17 17:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
28,1045181,Moving Violation,320,Black/African American,Male,21.0,2014-01-03,2020-03-17 18:00:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
29,1045182,Moving Violation,930,White,Female,25.0,2014-01-03,2020-03-17 18:10:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
30,1045184,Moving Violation,240,Hispanic/Latino/a,Male,32.0,2014-01-03,2020-03-17 18:20:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
31,1045185,Moving Violation,720,Hispanic/Latino/a,Female,50.0,2014-01-03,2020-03-17 18:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
32,1190425,Equipment Violation,930,White,Female,23.0,2014-01-03,2020-03-17 18:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
33,1045189,Moving Violation,930,White,Male,36.0,2014-01-03,2020-03-17 18:35:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
34,1045186,Moving Violation,930,White,Female,37.0,2014-01-03,2020-03-17 18:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
35,1045187,Moving Violation,720,White,Male,24.0,2014-01-03,2020-03-17 18:50:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
36,1190435,Equipment Violation,810,Hispanic/Latino/a,Female,27.0,2014-01-03,2020-03-17 18:50:00,N,Y,N,N,N,True,1,2020-03-17 18:18:00,True
37,1045188,Moving Violation,240,Asian,Male,47.0,2014-01-03,2020-03-17 19:05:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
38,1045190,Moving Violation,240,Other,Male,48.0,2014-01-03,2020-03-17 19:31:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
39,1045192,Equipment Violation,930,Hispanic/Latino/a,Male,23.0,2014-01-03,2020-03-17 19:32:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
40,1045191,Equipment Violation,230,White,Female,0.0,2014-01-03,2020-03-17 19:35:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
41,1045193,Equipment Violation,320,Hispanic/Latino/a,Female,22.0,2014-01-03,2020-03-17 19:35:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
42,1045194,Moving Violation,610,White,Male,19.0,2014-01-03,2020-03-17 19:42:00,N,N,N,N,N,True,1,2020-03-17 18:18:00,True
43,1045197,Moving Violation,710,Hispanic/Latino/a,Female,49.0,2014-01-03,2020-03-17 19:49:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
44,1045195,Moving Violation,240,Asian,Female,52.0,2014-01-03,2020-03-17 19:55:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
45,1045198,Equipment Violation,320,Other,Female,38.0,2014-01-03,2020-03-17 19:55:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
46,1045196,Moving Violation,610,Hispanic/Latino/a,Female,33.0,2014-01-03,2020-03-17 20:00:00,N,N,N,N,N,True,1,2020-03-17 18:18:00,True
47,1045206,Moving Violation,720,Hispanic/Latino/a,Female,21.0,2014-01-03,2020-03-17 20:05:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
48,1045207,Moving Violation,720,Hispanic/Latino/a,Female,21.0,2014-01-03,2020-03-17 20:05:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
49,1045199,Moving Violation,240,Asian,Male,53.0,2014-01-03,2020-03-17 20:18:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
50,1045258,Moving Violation,720,Hispanic/Latino/a,Male,61.0,2014-01-04,2020-03-17 17:26:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
51,1045259,Equipment Violation,440,Hispanic/Latino/a,Male,22.0,2014-01-04,2020-03-17 17:33:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
52,1045264,Equipment Violation,610,Hispanic/Latino/a,Female,24.0,2014-01-04,2020-03-17 17:35:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
53,1045260,Equipment Violation,120,White,Male,45.0,2014-01-04,2020-03-17 17:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
54,1045261,Moving Violation,310,Hispanic/Latino/a,Male,49.0,2014-01-04,2020-03-17 17:50:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
55,1045262,Moving Violation,310,Other,Male,61.0,2014-01-04,2020-03-17 18:05:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
56,1045277,Moving Violation,610,Hispanic/Latino/a,Male,25.0,2014-01-04,2020-03-17 18:25:00,N,N,N,N,N,True,1,2020-03-17 18:18:00,True
57,1045263,Moving Violation,110,White,Male,50.0,2014-01-04,2020-03-17 18:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
58,1045265,Equipment Violation,610,Asian,Male,21.0,2014-01-04,2020-03-17 18:42:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
59,1047901,Moving Violation,240,White,Male,28.0,2014-01-04,2020-03-17 19:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
60,1045267,Equipment Violation,610,Hispanic/Latino/a,Male,18.0,2014-01-04,2020-03-17 20:00:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
61,1047902,Moving Violation,240,White,Male,38.0,2014-01-04,2020-03-17 20:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
62,1045322,Moving Violation,320,White,Female,75.0,2014-01-05,2020-03-17 17:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
63,1045324,Moving Violation,110,White,Female,37.0,2014-01-05,2020-03-17 17:18:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
64,1045323,Moving Violation,230,White,Male,74.0,2014-01-05,2020-03-17 17:24:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
65,1045325,Equipment Violation,810,Hispanic/Latino/a,Male,68.0,2014-01-05,2020-03-17 17:35:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
66,1045326,Moving Violation,430,Black/African American,Female,25.0,2014-01-05,2020-03-17 17:40:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
67,1045330,Moving Violation,110,White,Male,18.0,2014-01-05,2020-03-17 17:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
68,1045329,Moving Violation,230,Other,Male,17.0,2014-01-05,2020-03-17 17:52:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
69,1045331,Moving Violation,430,Asian,Female,67.0,2014-01-05,2020-03-17 17:55:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
70,1045333,Moving Violation,830,Hispanic/Latino/a,Male,18.0,2014-01-05,2020-03-17 18:00:00,Y,Y,N,N,N,True,1,2020-03-17 18:18:00,False
71,1045332,Moving Violation,230,Asian,Male,24.0,2014-01-05,2020-03-17 18:06:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
72,1045336,Moving Violation,230,White,Male,33.0,2014-01-05,2020-03-17 18:22:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
73,1045337,Moving Violation,710,Hispanic/Latino/a,Male,54.0,2014-01-05,2020-03-17 18:30:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
74,1045335,Moving Violation,230,White,Male,21.0,2014-01-05,2020-03-17 18:30:00,N,N,N,N,N,True,1,2020-03-17 18:18:00,True
75,1045338,Moving Violation,230,White,Female,36.0,2014-01-05,2020-03-17 18:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
76,1045339,Moving Violation,710,Hispanic/Latino/a,Female,44.0,2014-01-05,2020-03-17 18:56:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
77,1047903,Moving Violation,240,Hispanic/Latino/a,Female,23.0,2014-01-05,2020-03-17 19:11:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
78,1045340,Equipment Violation,110,Hispanic/Latino/a,Male,29.0,2014-01-05,2020-03-17 19:15:00,N,N,N,N,N,True,1,2020-03-17 18:18:00,True
79,1045341,Moving Violation,230,White,Male,22.0,2014-01-05,2020-03-17 19:26:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
80,1191055,Moving Violation,520,Hispanic/Latino/a,Female,51.0,2014-01-05,2020-03-17 19:45:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
81,1045343,Equipment Violation,720,Black/African American,Male,36.0,2014-01-05,2020-03-17 20:28:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
82,1045408,Equipment Violation,610,Black/African American,Male,29.0,2014-01-06,2020-03-17 18:10:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
83,1045410,Moving Violation,Unknown,White,Male,24.0,2014-01-06,2020-03-17 18:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
84,1045409,Moving Violation,720,White,Male,42.0,2014-01-06,2020-03-17 18:25:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
85,1045424,Moving Violation,620,White,Female,23.0,2014-01-06,2020-03-17 19:25:00,N,N,,N,N,True,1,2020-03-17 18:18:00,True
86,1045491,Moving Violation,310,White,Female,46.0,2014-01-07,2020-03-17 17:15:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
87,1045493,Personal Knowledge/Informant,110,Other,Male,27.0,2014-01-07,2020-03-17 17:24:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
88,1045492,Moving Violation,430,Black/African American,Male,23.0,2014-01-07,2020-03-17 17:34:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
89,1045494,Moving Violation,310,Hispanic/Latino/a,Female,46.0,2014-01-07,2020-03-17 17:38:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
90,1045495,Moving Violation,930,White,Female,26.0,2014-01-07,2020-03-17 17:42:00,N,N,,N,N,True,1,2020-03-17 18:18:00,False
